ID,DATE,PDC,PDD,KYC,KYD,TYPE,AGE,SEX,RACE,LATITUDE,LONGITUDE
184616006,06/30/2018,849,"NY STATE LAWS,UNCLASSIFIED VIOLATION",677,OTHER STATE LAWS,V,25-44,M,WHITE HISPANIC,40.65746184,-73.93099632
184616008,06/30/2018,617,LOITERING FOR PROSTITUTION OR TO PATRONIZE,356,PROSTITUTION & RELATED OFFENSES,M,18-24,F,BLACK,40.65626993,-73.89108225
184618116,06/30/2018,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,M,25-44,M,BLACK,40.67141166,-73.88151172
184619323,06/30/2018,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,F,45-64,F,BLACK,40.72628778,-73.98779601
184621751,06/30/2018,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,M,25-44,M,BLACK,40.88733282,-73.84725001
184621759,06/30/2018,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,M,25-44,M,BLACK,40.80407396,-73.93266484
184622892,06/30/2018,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,M,25-44,M,WHITE HISPANIC,40.85783455,-73.88687326
184622893,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,M,18-24,M,BLACK,40.8441566,-73.90060545
184622901,06/30/2018,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,M,25-44,F,WHITE HISPANIC,40.86333845,-73.89646979
184625523,06/30/2018,155,RAPE 2,104,RAPE,F,25-44,M,BLACK HISPANIC,40.86905853,-73.87963015
184625529,06/30/2018,729,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113,FORGERY,F,<18,M,WHITE HISPANIC,40.68336304,-73.97486713
184625544,06/30/2018,779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,MISCELLANEOUS PENAL LAW,F,25-44,M,BLACK,40.6173192,-74.08174131
184626746,06/30/2018,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,M,18-24,M,WHITE HISPANIC,40.86228743,-73.89980469
184626748,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,M,25-44,M,WHITE HISPANIC,40.64704334,-74.01351851
184626766,06/30/2018,969,"TRAFFIC,UNCLASSIFIED INFRACTION",881,OTHER TRAFFIC INFRACTION,V,25-44,M,BLACK,40.57788892,-73.99475284
184626775,06/30/2018,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,M,25-44,M,WHITE HISPANIC,40.79321711,-73.96727402
184621750,06/30/2018,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,M,25-44,M,WHITE HISPANIC,40.84945643,-73.92172824
184620551,06/30/2018,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,M,25-44,M,BLACK,40.72906475,-73.81102013
184620549,06/30/2018,511,"CONTROLLED SUBSTANCE, POSSESSION 7",235,DANGEROUS DRUGS,M,25-44,M,BLACK HISPANIC,40.74732422,-73.86934425
184619316,06/30/2018,105,STRANGULATION 1ST,106,FELONY ASSAULT,F,25-44,M,BLACK,40.88733282,-73.84725001
184616966,06/30/2018,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,F,25-44,M,BLACK HISPANIC,40.79605784,-73.96705231
184616021,06/30/2018,779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,MISCELLANEOUS PENAL LAW,F,25-44,M,WHITE HISPANIC,40.63676628,-74.07743068
184616011,06/30/2018,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,F,25-44,M,BLACK,40.69969571,-73.98169157
184616010,06/30/2018,617,LOITERING FOR PROSTITUTION OR TO PATRONIZE,356,PROSTITUTION & RELATED OFFENSES,M,18-24,F,BLACK,40.65478944,-73.88997824
184616009,06/30/2018,462,UNAUTHORIZED USE VEHICLE 3,353,UNAUTHORIZED USE OF A VEHICLE,M,<18,M,WHITE HISPANIC,40.57758742,-73.97633607
