id,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE/SF,LATITUDE,LONGITUDE
1,Multi-Family (2-4 Unit),788 Troy Ave,Brooklyn,NY,11203,999000,8,4.5,Brooklyn,3321,3000,1931,1,301,40.6540599,-73.9366939
2,Condo/Co-op,14-82 212th St #122,Bayside,NY,11360,459999,2,1,Bay Terrace Gardens,,,1954,1,,40.7855843,-73.7825628
3,Single Family Residential,48-57 58th St,Woodside,NY,11377,688000,3,1,Woodside,,1345,1925,19,,40.73703,-73.908766
4,Multi-Family (2-4 Unit),2731 Fenton Ave,Bronx,NY,10469,485000,3,2,Bronx,1753,2199,1950,23,277,40.866273,-73.844599
5,Single Family Residential,69-21 Manse St,Forest Hills,NY,11375,849000,4,2.5,Forest Hills,,2342,1930,26,,40.713477,-73.85335
6,Single Family Residential,114-38 208th St,Cambria Heights,NY,11411,529000,3,2,Cambria Heights,,3000,1930,34,,40.7008859,-73.746576
7,Condo/Co-op,Unit at 235 E 40th St,New York,NY,10016,1062380,1,1.5,Murray Hill Kips Bay,,,,41,,40.7491973,-73.9736594
8,Single Family Residential,151-23 10th Ave,Whitestone,NY,11357,888000,3,2,Whitestone,,3246,1955,42,,40.793354,-73.812132
9,Condo/Co-op,Unit at 446 E 86th St,New York,NY,10028,359000,0,1,Upper East Side,,,,92,,40.7758656,-73.9475088
10,Condo/Co-op,Unit at 25 -69 38th St,Queens,NY,11103,699000,2,1,Astoria,,,,111,,40.7667049,-73.9140501
11,Condo/Co-op,25-69 38th St Unit 4R,Astoria,NY,11103,699000,2,1,Central Astoria,,,2007,112,,40.7665356,-73.9136429
12,Multi-Family (2-4 Unit),203-207 North Burgher Ave,Staten Island,NY,10310,799800,11,5,West Brighton,3498,13125,1920,1,229,40.636311,-74.114414
13,Condo/Co-op,2 Samantha Way Unit 2A,Bronx,NY,10465,509000,3,3,Bronx,3000,,2006,1,170,40.8124257,-73.8243527
14,Multi-Family (2-4 Unit),18-37 119th St,College Point,NY,11356,1350000,8,4,College Point,,5000,1901,1,,40.782097,-73.848367
15,Multi-Family (2-4 Unit),18-01 128 St,College Point,NY,11356,1320000,6,2,College Point,,2760,1925,1,,40.7830967,-73.8403039
16,Condo/Co-op,Unit at 1 Central Park W,New York,NY,10023,1100000,1,1,Upper West Side,,,,1,,40.7690255,-73.9816255
17,Multi-Family (2-4 Unit),114-19 116th St,S. Ozone Park,NY,11420,1100000,5,3,S. Ozone Park,,3887,1940,1,,40.677576,-73.822518
18,Multi-Family (2-4 Unit),2765 Cruger Ave,Bronx,NY,10467,629000,6,2,Bronx,3675,,1925,1,171,40.8677379,-73.8665206
19,Single Family Residential,1382 E 58th St,Brooklyn,NY,11234,699000,3,2.5,Brooklyn,,2000,1920,1,,40.6207004,-73.9195749
20,Townhouse,55-01 32 Ave,Woodside,NY,11377,1159000,6,3.5,Woodside,1650,2150,1926,1,702,40.7557426,-73.9060609
21,Condo/Co-op,9511 Shore Rd #408,Brooklyn,NY,11209,749000,2,2,Brooklyn,977,,1956,1,767,40.6163434,-74.0377889
22,Condo/Co-op,7501 Ridge Blvd Unit 3J,Brooklyn,NY,11209,499000,2,1,Brooklyn,1000,,,1,499,40.6317767,-74.0302418
23,Single Family Residential,142-10 Cronston Ave,Neponsit,NY,11694,2500000,3,3.5,Neponsit,,4000,1935,1,,40.5761589,-73.861448
24,Single Family Residential,87-18 Little Neck Pkwy Pkwy,Floral Park,NY,11001,569000,3,3,Floral Park,,3979,1950,1,,40.730389,-73.711193
25,Condo/Co-op,150-20 71 Ave,Flushing,NY,11367,318000,2,1,Dara Development,,,1950,1,,40.7287357,-73.8172427
26,Condo/Co-op,1040 Neilson St Unit 5M,Far Rockaway,NY,11691,239000,3,2,1040 Neilson,,,1960,1,,40.6043757,-73.7475099
27,Single Family Residential,2214 Seymour Ave,Bronx,NY,10469,649000,3,2.5,Bronx,1980,2661,1930,1,328,40.8590808,-73.8462023
28,Condo/Co-op,Unit at 3600 Fieldston Rd,Bronx,NY,10463,330000,2,1,Fieldston,,,,1,,40.8861288,-73.9064964
29,Single Family Residential,193 Park Dr N,Staten Island,NY,10314,569000,3,3,New Springville,1242,2300,1975,1,458,40.596607,-74.1679773
30,Single Family Residential,844 Union Ave,Bronx,NY,10459,450000,3,1.5,Bronx,1152,1890,1993,1,391,40.8201589,-73.902612
31,Multi-Family (2-4 Unit),240-27 68 Ave,Douglaston,NY,11362,1090000,4,3,Douglaston,2310,2100,1950,1,472,40.7511205,-73.7383462
32,Townhouse,62-40 79th St,Middle Village,NY,11379,799000,3,1,Middle Village,1744,2220,1951,1,458,40.721813,-73.878133
33,Single Family Residential,,Hollis,NY,11423,600000,4,2.5,Hollis,,4000,1950,1,,40.710736,-73.753926
34,Multi-Family (2-4 Unit),440 E 146th St,Bronx,NY,10455,749000,5,4,Bronx,2160,2482,1991,1,347,40.8133401,-73.9178477
35,Townhouse,150-59 77 Rd,Kew Garden Hills,NY,11367,1188000,3,3.5,Kew Garden Hills,,1800,2010,1,,40.722723,-73.812597
36,Single Family Residential,151-28 12th Rd,Whitestone,NY,11357,2580000,4,5,Whitestone,,7500,2019,1,,40.790258,-73.810721
37,Condo/Co-op,Unit at 10 Nevins St,Brooklyn,NY,11217,835000,1,1,Downtown Brooklyn,,,,1,,40.6885353,-73.9813632
38,Condo/Co-op,Unit at 163 St Nicholas Ave,New York,NY,10026,975000,2,2,Harlem,,,,1,,40.8054103,-73.9530882
39,Condo/Co-op,110-11 Queens Blvd Unit 30 K,Forest Hills,NY,11375,698000,2,2,Kennedy House,1300,,1964,1,537,40.7201292,-73.8398387
40,Single Family Residential,1420 E 56 St,Brooklyn,NY,11234,489000,2,1,Brooklyn,815,2958,1925,1,600,40.6209397,-73.9215269
41,Condo/Co-op,302 96th St Unit 4M,Brooklyn,NY,11209,379000,1,1,Brooklyn,750,,,1,505,40.61593,-74.0335829
42,Multi-Family (2-4 Unit),,E. Elmhurst,NY,11369,929000,5,2,E. Elmhurst,,2000,1940,1,,40.76659,-73.872742
43,Condo/Co-op,137-45 68th Dr,Kew Garden Hills,NY,11367,330000,2,1,Hyde Park Garden,,,1950,1,,40.7306721,-73.8296354
44,Multi-Family (2-4 Unit),174-48 127th Ave,Jamaica,NY,11434,534500,4,2,Jamaica,,2695,1993,1,,40.680863,-73.76776
45,Condo/Co-op,,Queens,NY,11694,183000,0,1,,550,,,1,333,40.5722132,-73.8624893
46,Condo/Co-op,152 Withers St Unit 2A,Brooklyn,NY,11211,1200000,2,1,Brooklyn,1104,,2008,1,1087,40.7171077,-73.9457638
47,Multi-Family (2-4 Unit),476 2nd St,Brooklyn,NY,11215,3300000,9,5.5,Park Slope,,,,1,,40.6714767,-73.979239
48,Condo/Co-op,Unit at 880 Fifth Ave,New York,NY,10021,2800000,3,3,Upper East Side,,,,1,,40.770654,-73.9679658
49,Condo/Co-op,Unit at 3671 Hudson Manor Ter,Bronx,NY,10463,775000,2,2,Riverdale,,,,1,,40.8881345,-73.9162336
50,Condo/Co-op,Unit at 88 Morningside Ave,New York,NY,10027,765000,1,1,Morningside Heights,,,,1,,40.809285,-73.9553131
51,Single Family Residential,140 Winter Ave,Staten Island,NY,10301,375000,5,2,St. George,1920,1109,1902,1,195,40.6384206,-74.0864861
52,Condo/Co-op,Unit at 5355 Henry Hudson Pkwy W,Bronx,NY,10471,259000,1,1,Riverdale,,,,1,,40.9012322,-73.906509
53,Condo/Co-op,601 Kappock St Unit 3R,Bronx,NY,10463,135000,0,1,Riverdale,600,,1962,1,225,40.8789773,-73.916004
54,Single Family Residential,2786 Amboy Rd,Staten  Island,NY,10306,560000,4,1.75,Staten  Island,1404,3640,1965,1,399,40.5691358,-74.1242024
55,Single Family Residential,27 Venus Ln,Staten Island,NY,10314,499888,2,2,New Springville,1500,3311,1987,1,333,40.5814686,-74.1553632
56,Single Family Residential,26244 60th Rd,Douglaston,NY,11362,988000,4,2,Douglaston,2200,4000,1955,1,449,40.759915,-73.7187129
57,Condo/Co-op,199-55 21 Ave Unit 1-104,Whitestone,NY,11357,199000,1,1,Clearview Gardens,,,1951,1,,40.7792051,-73.7918256
58,Condo/Co-op,143-50 Barclay Ave Unit 5A,Flushing,NY,11354,288000,1,1,Flushing,,,1988,1,,40.75928,-73.8217
59,Single Family Residential,2439 E 70th St,Brooklyn,NY,11234,899000,3,2.5,Brooklyn,2172,2475,1975,1,414,40.6138768,-73.9016851
60,Single Family Residential,52 Conrad Ave,Staten Island,NY,10314,759900,3,4,New Springville,1500,2500,2018,1,507,40.589816,-74.14753
61,Multi-Family (2-4 Unit),77-09 45th Ave,Elmhurst,NY,11373,999000,3,3,Elmhurst,,2584,1925,1,,40.741337,-73.887105
62,Townhouse,105-34 62nd Dr,Forest Hills,NY,11375,890000,3,1.5,Forest Hills,1224,1569,1945,1,727,40.735069,-73.851913
63,Single Family Residential,1927 E 18 St,Brooklyn,NY,11229,1249000,3,2.5,Brooklyn,2468,2333,1930,1,506,40.6030782,-73.9540869
64,Multi-Family (2-4 Unit),150-11 123rd Ave,Jamaica,NY,11434,799000,5,3,Jamaica,,2985,2004,1,,40.6762888,-73.7898497
65,Multi-Family (2-4 Unit),1200 E 221st St,Bronx,NY,10469,599000,0,,Bronx,2500,,1948,1,240,40.87962,-73.8481435
66,Multi-Family (2-4 Unit),108-14 49 Ave,Corona,NY,11368,1290000,7,4.5,Corona,,2080,1915,1,,40.745221,-73.8552459
67,Single Family Residential,50 Conrad Ave,Staten Island,NY,10314,759900,3,4,New Springville,1500,2500,2018,1,507,40.589772,-74.147456
68,Condo/Co-op,,Staten Island,NY,10306,289000,1,1,,861,861,1961,1,336,40.5795138,-74.1075247
69,Condo/Co-op,,Brooklyn,NY,11209,599000,1,1,,756,,1987,1,792,40.6221899,-74.031758
70,Single Family Residential,2065 E 73 St,Brooklyn,NY,11234,589000,3,1,Brooklyn,1064,2000,1925,1,554,40.621285,-73.906209
71,Condo/Co-op,208-05 Estates Dr Unit 131 L,Bayside,NY,11360,939000,2,2.5,Baybridge Condo Iii,1800,,1986,1,522,40.7874637,-73.7868195
72,Single Family Residential,19 Midland Ave,Staten Island,NY,10306,499000,4,3,Grant City,1140,3000,1940,1,438,40.5820196,-74.1095779
73,Single Family Residential,1750 E 7 St,Brooklyn,NY,11223,1550000,3,2.25,Brooklyn,1388,2750,1925,1,1117,40.6079988,-73.9662554
74,Condo/Co-op,139-39 35 Ave Unit B,Flushing,NY,11354,649000,2,2,State Manor Condo,,,2007,1,,40.765757,-73.826401
75,Townhouse,208 Wirt Ave,Staten Island,NY,10309,550000,4,3,Rossville,1200,2898,1998,1,458,40.5469071,-74.2202941
76,Condo/Co-op,61-25 97th St,Rego Park,NY,11374,355000,1,1,Park Plaza,750,,1962,1,473,40.733593,-73.8618876
77,Single Family Residential,2844 Wickham Ave,Bronx,NY,10469,649000,4,3,Bronx,2375,2374,1935,1,273,40.8686355,-73.8369096
78,Multi-Family (2-4 Unit),109-18 132nd St,S. Ozone Park,NY,11420,699000,5,3,S. Ozone Park,,2406,1925,1,,40.685076,-73.811684
79,Single Family Residential,94-19 77th St,Ozone Park,NY,11416,628000,3,1,Ozone Park,,2007,1955,1,,40.68365,-73.861989
80,Multi-Family (2-4 Unit),84-23 Corona Ave,Elmhurst,NY,11373,1700000,5,3,Elmhurst,,3241,1941,1,,40.738859,-73.87919
81,Vacant Land,991 Todt Hill (a & B) Rd,Staten Island,NY,10304,1300000,0,,Todt Hill,,23950,,1,,40.5863581,-74.1100712
82,Condo/Co-op,63-95 Austin St Unit 5L,Rego Park,NY,11374,300000,1,1,The Savoy,850,,1960,1,353,40.7272428,-73.8632322
83,Single Family Residential,,Brooklyn,NY,11203,549900,2,1,,1508,2700,1945,1,365,40.6212119,-74.0329499
84,Condo/Co-op,204-08 35 Ave #250,Bayside,NY,11361,319000,2,1,Garden Apartment,700,,1965,1,456,40.7660741,-73.7829688
85,Multi-Family (2-4 Unit),2907 Avenue Z,Brooklyn,NY,11235,799999,5,2.75,Brooklyn,1870,3000,1920,1,428,40.5897181,-73.9405401
86,Multi-Family (2-4 Unit),86-32 Woodhaven Blvd,Woodhaven,NY,11421,799000,6,2,Woodhaven,2000,1863,1915,1,400,40.6944943,-73.8527223
87,Single Family Residential,6936 Thursby Ave,Arverne,NY,11692,399000,3,1,Arverne,,1000,1915,1,,40.594918,-73.7999298
88,Multi-Family (2-4 Unit),1757 E 29th St,Brooklyn,NY,11229,1599000,5,2.5,Brooklyn,2200,3150,1940,1,727,40.608379,-73.9442254
89,Condo/Co-op,100 Beekman St Unit 3D,Manhattan Beach,NY,11235,975000,2,1,Southbridge Towers,,,1970,1,,40.70862,-74.00348
90,Condo/Co-op,5430 Amboy Rd Unit 2b,Staten Island,NY,10312,599900,3,3,Huguenot,2700,7000,2017,1,222,40.5321595,-74.190761
91,Single Family Residential,132-08 115 Ave,S. Ozone Park,NY,11420,719000,4,3,S. Ozone Park,,2392,1925,1,,40.6800222,-73.8085426
92,Single Family Residential,64-43 138 St,Flushing,NY,11367,950000,3,3,Flushing,1200,,1945,1,792,40.7377046,-73.8282368
93,Multi-Family (2-4 Unit),4611 Fort Hamilton Pkwy,Brooklyn,NY,11219,1695000,7,3,Brooklyn,3050,1560,1931,1,556,40.6394247,-73.995686
94,Condo/Co-op,1350 Ocean Pkwy Unit 4L,Brooklyn,NY,11230,349000,1,1,Brooklyn,900,,,1,388,40.6157302,-73.9696877
95,Multi-Family (2-4 Unit),1812 Palisade Pl,Bronx,NY,10453,650000,0,,Bronx,3800,,1915,1,171,40.8522969,-73.9182889
96,Condo/Co-op,150-40 71st Ave Unit 1D,Kew Garden Hills,NY,11367,249999,1,1,Dara Gardens,,,1960,1,,40.7292716,-73.8167417
97,Condo/Co-op,Unit at 680 W 204th St,New York,NY,10034,569000,2,1,Inwood,,,,1,,40.8675377,-73.9238118
98,Condo/Co-op,Unit at 1270 Fifth Ave,New York,NY,10029,869000,1,1,East Harlem,,,,1,,40.7956049,-73.9496212
99,Multi-Family (2-4 Unit),41-14 114th St,Corona,NY,11368,1200000,4,2,Corona,,2300,1965,1,,40.751339,-73.852306
100,Single Family Residential,4816 Barnes Ave,Bronx,NY,10470,550000,3,1.5,Bronx,1665,,1945,1,330,40.9057002,-73.8469649
101,Single Family Residential,47-35 169th St,Flushing,NY,11358,798000,3,2,Flushing,,4000,1945,1,,40.748922,-73.7987713
102,Townhouse,1024 Pierce Ave,Bronx,NY,10461,629000,3,2.5,Bronx,1714,2299,1955,1,367,40.8451771,-73.8527149
103,Condo/Co-op,83-74 Talbot St Unit 2F,Kew Gardens,NY,11415,259900,1,1,Talbot Apartments,800,,1933,1,325,40.70825,-73.8276
104,Single Family Residential,111-52 147 St,Jamaica,NY,11434,505000,2,2,Jamaica,,2000,1940,1,,40.68636,-73.79701
105,Single Family Residential,168 Corona Ave,Staten Island,NY,10306,354900,2,2,Richmond Town,1176,946,1988,1,302,40.5626267,-74.1400595
106,Multi-Family (2-4 Unit),1625 Pilgrim Ave,Bronx,NY,10461,990000,5,3,Bronx,3120,2374,1940,1,317,40.8442666,-73.8339345
107,Single Family Residential,115-49 227th St,Cambria Heights,NY,11411,499000,3,2.5,Cambria Heights,,2000,1945,1,,40.696914,-73.73178
108,Multi-Family (2-4 Unit),16-16 Norman St,Flushing,NY,11385,1485000,4,4,Flushing,,2720,1910,1,,40.695403,-73.902615
109,Single Family Residential,179 -49 Selover Rd,Queens,NY,11434,539000,3,2.5,Queens,,,,1,,40.683259,-73.764562
110,Multi-Family (2-4 Unit),1792 E 48th St,Brooklyn,NY,11234,354900,5,2,Brooklyn,,2925,1955,1,,40.6167823,-73.9287948
111,Townhouse,153-23 76th Rd,Kew Garden Hills,NY,11367,799000,3,2.5,Kew Garden Hills,,1800,1945,1,,40.7243723,-73.812119
112,Townhouse,132-29 84th Street St,Ozone Park,NY,11417,630000,3,2,Ozone Park,,2000,1940,1,,40.674768,-73.852104
113,Townhouse,269 Giffords Ln,Staten Island,NY,10308,749000,3,4,Great Kills,1480,3000,2004,1,506,40.558073,-74.153044
114,Condo/Co-op,133-38 Sanford Ave Unit 7D,Flushing,NY,11355,750000,1,1,Victoria Tower,1081,,2013,1,694,40.7560735,-73.8293384
115,Condo/Co-op,814 Tilden St Unit STB,Bronx,NY,10467,55000,0,1,Bronx,650,649,1962,1,85,40.8767393,-73.8614649
116,Multi-Family (2-4 Unit),3207 Wallace Ave,Bronx,NY,10467,599000,6,3,Bronx,3909,3497,1901,1,153,40.8717496,-73.8644877
117,Condo/Co-op,,Brooklyn,NY,11235,229000,1,,,700,,,1,327,40.5860069,-73.9418603
118,Single Family Residential,187-11 Keeseville Ave,Jamaica,NY,11412,420000,3,2.5,Jamaica,,3000,1940,1,,40.697848,-73.767133
119,Multi-Family (2-4 Unit),150-08 61st Rd,Flushing,NY,11367,1090000,6,3,Flushing,,1942,1950,1,,40.73927,-73.819509
120,Townhouse,3106 Richmond Ter,Staten Island,NY,10303,399900,3,1,Mariners Harbor,1176,1508,2004,1,340,40.6381422,-74.1628859
121,Condo/Co-op,,Staten  Island,NY,10306,249000,1,1,,858,,1961,1,290,40.5729336,-74.1298684
122,Condo/Co-op,1742 80 St Unit 3B,Brooklyn,NY,11214,798000,3,2,Brooklyn,953,,2002,1,837,40.611166,-74.0003803
123,Single Family Residential,251 Boundary Ave,Staten Island,NY,10306,569999,3,2,Midland Beach,1201,4200,1930,1,475,40.575717,-74.1027643
124,Multi-Family (2-4 Unit),15 E 92nd St,New York,NY,10128,11900000,6,5.5,Upper East Side,,,,1,,40.7851164,-73.9566125
125,Condo/Co-op,Unit at 330 W 145th St,New York,NY,10039,685000,2,2,Central Harlem,,,,1,,40.823366,-73.943755
126,Condo/Co-op,Unit at 303 E 43rd St,New York,NY,10017,2250000,3,2.5,Middle East Side,,,,1,,40.750593,-73.9712061
127,Condo/Co-op,Unit at 137 E 36th St,New York,NY,10016,999000,1,1,Murray Hill Kips Bay,,,,1,,40.7477912,-73.9784345
128,Condo/Co-op,Unit at 524 Manhattan Ave,Brooklyn,NY,11222,2100000,2,2,Green Point,,,,1,,40.7218225,-73.9491849
129,Condo/Co-op,100 Colfax Ave Unit 1g,Staten Island,NY,10306,249000,1,1,Grant City,858,858,1961,1,290,40.5795138,-74.1075247
130,Multi-Family (2-4 Unit),1046 E 228th St,Bronx,NY,10466,575000,5,2,Bronx,2640,,1925,1,218,40.8864778,-73.848994
131,Multi-Family (2-4 Unit),62-35 Burchell Rd,Arverne,NY,11692,699000,5,3,Arverne,,3254,2003,1,,40.596364,-73.792489
132,Single Family Residential,32-35 150 Pl,Flushing,NY,11354,1250000,4,2.5,Flushing,1815,3640,1925,1,689,40.7690691,-73.8143946
133,Single Family Residential,64 Seaver Ave,Staten Island,NY,10306,439000,3,2,Dongan Hills-Above Hylan,1312,2419,1960,1,335,40.5857447,-74.1024087
134,Multi-Family (2-4 Unit),161-08 59th Ave,Flushing,NY,11365,925000,2,3,Flushing,1440,3000,1930,1,642,40.740237,-73.8070429
135,Single Family Residential,12 Millbank Rd,Staten Island,NY,10306,399000,3,2,New Dorp,1276,3600,1920,1,313,40.5612103,-74.1030969
136,Single Family Residential,6 Grimsby St Unit B,Staten Island,NY,10305,618000,3,2,Dongan Hills Colony,1600,2250,2010,1,386,40.5778746,-74.0904439
137,Single Family Residential,131-12 131st Ave,S. Ozone Park,NY,11420,589999,3,2.5,S. Ozone Park,,3000,1930,1,,40.670587,-73.807023
138,Multi-Family (2-4 Unit),1928 Bogart Ave,Bronx,NY,10462,829000,4,3,Bronx,2800,2500,1930,1,296,40.850081,-73.859708
139,Single Family Residential,7224 N Ave,Brooklyn,NY,11234,799000,4,2.5,Brooklyn,1585,2548,2004,1,504,40.62364,-73.9094016
140,Townhouse,5355 Arthur Kill Rd,Staten Island,NY,10307,739000,4,2,Tottenville,4100,6150,1910,1,180,40.513838,-74.247609
141,Condo/Co-op,33-55 14th St Unit 15B,Long Island City,NY,11106,489000,2,1,North Queensview Homes,,,1958,1,,40.7640423,-73.9347875
142,Single Family Residential,1227 Mason Ave,Staten Island,NY,10306,600000,3,3,Midland Beach,1565,2500,1997,1,383,40.5744629,-74.0981872
143,Condo/Co-op,14470 41 Ave,Flushing,NY,11355,260000,0,1,No,,,1962,1,,40.7610336,-73.8188858
144,Single Family Residential,221-06 133rd Ave,Laurelton,NY,11413,495000,4,2.5,Laurelton,2392,3920,1920,1,207,40.6796958,-73.7472933
145,Single Family Residential,254 York Ave,Staten Island,NY,10301,534000,3,4,New Brighton,2000,2300,2018,1,267,40.6402416,-74.0882072
146,Multi-Family (2-4 Unit),,Jamaica,NY,11433,485000,5,2,Jamaica,,2500,1920,1,,40.702123,-73.780733
147,Condo/Co-op,61-15 98th St Unit 17H,Rego Park,NY,11374,439000,2,1,Park City Estates,1000,,1960,1,439,40.7346287,-73.8602381
148,Single Family Residential,121 Belvedere Dr,Yonkers,NY,10705,479900,2,1.5,Yonkers,1590,4987,1955,1,302,40.9190095,-73.9074292
149,Single Family Residential,84-18 150 St,Briarwood,NY,11435,1145000,3,1.5,Briarwood,,4040,1950,1,,40.712825,-73.810146
